date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:09	176543/176543	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2011:24:09%20GMT	https://myresipi.com/cara-membuat-nasi-lemak/	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/cara-membuat-nasi-lemak/index.html	(from )
21:16:09	71/71	---MCZ	200	added ('OK')	text/plain	date:Fri,%2011%20Jul%202025%2013:16:09%20GMT	https://myresipi.com/robots.txt		(from )
21:16:12	450789/450789	---M--	200	added ('OK')	image/png	etag:%22219db17391e7125caf3a63250af4634f%22	https://media.myresipi.com/2025/03/httpswww.tiktok.com@myresipivideo7477862648508386567is_from_webapp1sender_devicepcweb_id7343783453773678098.png	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/media.myresipi.com/2025/03/httpswww.tiktok.com@myresipivideo7477862648508386567is_from_webapp1sender_devicepcweb_id7343783453773678098.png	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:12	4228/4228	---M--	200	added ('OK')	image/png	etag:%2224dc6e462bdf72901f630a3a567ea0d0%22	https://media.myresipi.com/2022/01/faviconmr.png	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/media.myresipi.com/2022/01/faviconmr.png	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:12	21763/21763	---MCZ	200	added ('OK')	text/css	etag:W/%22686b23e1-5503%22	https://myresipi.com/app/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=6.11.1	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/app/plugins/LayerSlider/assets/static/layerslider/css/layerslider3584.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:12	110111/110111	---MCZ	200	added ('OK')	text/css	etag:W/%226033c8d8-1ae1f%22	https://myresipi.com/wp/wp-includes/css/dist/components/style.min.css?ver=5.6.2	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/wp/wp-includes/css/dist/components/style.min4c7e.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:13	84143/84143	---MCZ	200	added ('OK')	text/css	etag:W/%226033c8d8-148af%22	https://myresipi.com/wp/wp-includes/css/dist/block-editor/style.min.css?ver=5.6.2	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/wp/wp-includes/css/dist/block-editor/style.min4c7e.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:13	69713/69713	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2013:16:13%20GMT	https://myresipi.com/cara-membuat-nasi-lemak/amp/	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/cara-membuat-nasi-lemak/amp/index.html	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:13	2510/2510	---MCZ	200	added ('OK')	text/css	etag:W/%226033c8d8-9ce%22	https://myresipi.com/wp/wp-includes/css/dist/nux/style.min.css?ver=5.6.2	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/wp/wp-includes/css/dist/nux/style.min4c7e.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:13	834/834	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2242c0b861bb87b69e4e698fb260327a57%22	https://myresipi.com/cara-membuat-nasi-lemak/feed/	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/cara-membuat-nasi-lemak/feed/index.html	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:13	23256/23256	---MCZ	200	added ('OK')	text/css	etag:W/%226033c8d8-5ad8%22	https://myresipi.com/wp/wp-includes/css/dist/editor/style.min.css?ver=5.6.2	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/wp/wp-includes/css/dist/editor/style.min4c7e.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
21:16:14	141/141	---MCZ	200	added ('OK')	text/css	etag:W/%225f12bf2a-8d%22	https://myresipi.com/app/plugins/ilab-media-tools/public/blocks/mediacloud-mux.blocks.style.css	C:/My%20Web%20Sites/Cara%20Masak%20Nasi%20Lemak%20Instant,%20Resipi%20Cepat%20Siap%20&%20Sesuai%20Masak%20Waktu%20Sahur/myresipi.com/app/plugins/ilab-media-tools/public/blocks/mediacloud-mux.blocks.style.css	(from https://myresipi.com/cara-membuat-nasi-lemak/)
